,0,1,2,3,4,5,6,7,8,9,10,11,12,label
0,-872.0659,-123.188545,-1.7440537,36.00483,-15.376377,-14.938595,-2.3742585,24.907541,-24.720024,11.388738,-11.833607,6.54274,-16.7136,caudatus
1,-811.73303,-127.9033,-14.98494,41.011806,-24.974884,-19.241566,7.2229986,26.768883,-18.95669,4.6533666,-18.593433,9.495901,-16.679825,caudatus
2,-801.7078,-126.56088,-19.079233,45.184357,-24.877338,-22.702795,12.8029585,29.028385,-14.531815,2.5093827,-16.846182,10.405233,-14.832949,caudatus
3,-813.7302,-114.21408,-19.338844,28.879936,-26.349092,-11.1277075,21.099709,29.697102,-19.889435,-3.0934353,-10.810359,7.319299,-9.793271,caudatus
4,-822.271,-106.94475,-17.136227,29.352627,-24.81469,-9.235354,22.86925,25.357319,-22.343338,-9.001662,-2.7971945,8.889101,-11.445158,caudatus
5,-825.2383,-118.34228,-1.202129,34.24052,-10.385521,-19.291033,19.54713,16.624107,-28.199013,1.60419,3.8211079,10.7002,-13.597132,caudatus
6,-818.7239,-135.08444,14.171095,15.634325,-2.804684,-10.475443,12.869848,11.309639,-40.126244,15.067096,2.1543093,8.27774,-12.424522,caudatus
7,-817.2286,-142.817,20.95967,20.355568,-6.0429516,-9.256214,2.8837562,20.39774,-38.659477,16.23093,-3.641724,10.289513,-14.382943,caudatus
8,-822.0311,-136.16089,14.038898,26.72236,-11.555449,-6.5118866,-0.7569389,25.414557,-32.5407,8.585869,-5.8717384,11.734321,-16.656952,caudatus
9,-812.55084,-106.86569,2.332731,21.321793,-20.954144,-3.5183585,2.0737367,26.067093,-33.785824,6.466933,-5.557645,12.647963,-13.427406,caudatus
10,-815.0037,-95.12919,-4.9074574,23.811409,-22.900787,-5.0641747,-5.463086,22.48362,-28.219034,10.085064,-2.3356,7.3601646,-9.61358,caudatus
11,-818.90704,-86.64232,-11.000518,25.718319,-21.580317,-5.6265235,1.8456215,21.467527,-21.768915,6.893618,-2.01192,9.540909,-8.99385,caudatus
12,-818.842,-81.182495,-11.238924,16.843027,-32.865494,-8.869623,15.332575,40.181213,-9.056647,1.9443696,-8.361129,1.2957113,-17.573097,caudatus
13,-819.4427,-84.46158,-15.023836,7.6509275,-44.579674,-17.44805,21.200563,48.704403,-3.4604373,-0.29083532,-11.33456,-3.3475966,-20.367125,caudatus
14,-819.93335,-83.85416,-21.161545,13.572041,-43.134964,-7.5903597,19.340145,37.20226,-8.177262,3.5733457,-6.5109253,-0.14564973,-18.131065,caudatus
15,-811.6003,-89.05148,-25.325214,18.217716,-43.36576,-0.55675644,19.414337,35.23616,-12.761705,-3.3271704,-8.025077,3.1695805,-12.640842,caudatus
16,-810.5923,-80.53,-25.185219,9.99789,-39.545147,-6.437991,20.282965,41.696007,-10.555007,-2.2469072,-5.286868,3.6516378,-16.307386,caudatus
17,-816.5281,-75.249115,-27.030836,10.688122,-29.330029,-3.9551373,15.583536,29.176603,-11.3730345,10.905294,3.5477715,0.3004297,-20.987032,caudatus
18,-813.9391,-80.99712,-35.213623,9.58432,-21.096523,6.5324154,16.998892,20.11811,-13.853334,11.545738,-2.1204317,-3.889315,-17.721909,caudatus
19,-813.86255,-89.246826,-36.076294,10.724466,-16.71428,3.7295258,11.538624,20.321121,-14.19265,10.213831,-12.170849,0.6899665,-15.998408,caudatus
20,-806.8205,-79.78792,-27.161388,6.9574356,-25.766045,-3.5669858,7.421664,23.813557,-8.943602,17.605728,-10.528967,12.843064,-12.850205,caudatus
21,-809.83026,-79.910866,-15.651196,14.031763,-31.493416,-10.345444,5.6899824,19.620558,-3.170497,22.344181,-6.3110423,9.5103035,-17.612528,caudatus
22,-814.92206,-96.09456,-19.370438,25.55663,-35.88148,-6.4593,6.830461,18.384161,4.5132265,13.842817,-2.9909139,4.705884,-23.920769,caudatus
23,-825.2559,-103.033585,-15.002795,43.256577,-34.18331,-3.6173434,7.5657473,16.90003,1.5995514,-0.19242829,3.5755024,15.044238,-17.771378,caudatus
24,-832.3884,-103.220276,-13.34075,38.78578,-38.28636,1.7168458,11.195211,13.451683,-11.519028,-10.168467,3.2451124,21.166899,-16.314075,caudatus
25,-830.3096,-90.12775,-18.05558,33.001587,-29.682852,8.281118,10.945448,9.81757,-10.560156,-5.623351,4.7071953,17.108109,-20.133198,caudatus
26,-832.6158,-85.60892,-19.584167,33.43072,-23.839466,4.8288665,13.478012,9.4795265,-13.371713,-5.6144376,-0.86751413,8.858823,-17.932663,caudatus
27,-833.0151,-81.66875,-14.705982,37.040573,-19.508812,-0.06448841,9.366573,4.263353,-30.948624,-10.103355,4.3858,13.377183,-9.34218,caudatus
28,-825.65784,-76.03174,-10.819603,37.782234,-20.776611,-3.9433348,-0.21089709,4.9080925,-30.61534,0.8538296,8.504383,18.467602,-7.1907396,caudatus
29,-826.3891,-83.19224,-9.880457,31.79833,-20.736954,-6.0488214,-2.6580644,12.228479,-31.13533,5.909733,4.664595,19.749268,-8.735725,caudatus
30,-829.62726,-86.02391,-5.453993,21.185614,-27.604347,-12.961828,1.2833862,24.666323,-26.286133,12.40109,-7.3952346,12.122265,-13.948172,caudatus
31,-820.6377,-86.28107,-8.820831,3.6185713,-32.072853,-10.238867,10.988142,32.01712,-18.901993,13.040161,-16.538605,5.746336,-27.289625,caudatus
32,-825.83685,-95.46677,-6.3912253,10.30092,-32.755955,-7.4814844,16.710215,36.819946,-11.815213,11.964556,-15.504648,3.7895632,-27.336414,caudatus
33,-813.97253,-93.5023,-17.204836,8.350217,-31.710838,4.4616594,16.515602,31.979506,-12.001311,4.0522194,-13.965264,2.2337265,-14.619312,caudatus
34,-808.83435,-93.011185,-30.188606,11.61613,-43.33184,6.0111732,20.669846,28.584354,-6.5066814,-12.456865,-13.38719,0.7068831,-14.79945,caudatus
35,-811.6579,-97.2409,-35.406235,22.231709,-35.19822,8.027156,14.943759,14.830739,-5.107401,-6.990241,-11.259218,-3.366241,-12.665064,caudatus
36,-810.67285,-98.345634,-48.60051,18.977776,-12.216911,14.440077,4.572387,0.7157868,-7.631529,4.7147675,-4.2732396,-6.28237,-10.414585,caudatus
37,-812.5917,-94.07757,-50.686047,23.413008,-3.679295,7.275183,2.0543315,0.7552029,-14.65913,9.169394,2.4156337,-5.355724,-10.505863,caudatus
38,-810.2728,-92.07909,-48.67814,20.126312,-4.431934,3.2374854,11.147918,8.792584,-19.289183,-1.6163805,-2.1330104,1.8674012,-9.717262,caudatus
39,-814.5846,-87.94443,-46.73574,21.097082,-6.2641153,5.3001947,12.873018,6.2468576,-16.718533,4.847807,-2.4777496,5.8773794,-8.346349,caudatus
40,-819.88635,-85.55621,-40.30996,24.67686,-10.431271,4.0401144,14.169123,11.678109,-23.923004,-0.39916724,-6.8632765,5.3182573,-12.078289,caudatus
41,-808.0404,-70.601006,-26.34737,23.94431,-13.7113495,3.6644344,8.588671,9.278868,-27.067814,3.7733462,-5.9372034,5.265333,-13.016546,caudatus
42,-806.9739,-64.41914,-16.060852,26.377197,-21.209938,-4.501597,7.7130604,11.703264,-19.370667,10.052696,1.3421814,0.1902082,-18.441677,caudatus
43,-809.8888,-69.75903,-9.59674,34.299973,-28.57851,-15.777266,2.748742,15.559969,-16.526352,11.493546,3.819499,2.5121512,-18.819687,caudatus
44,-817.0546,-76.119385,-9.374035,30.829372,-38.0131,-18.357903,9.504738,21.695343,-12.671587,10.395773,5.532343,9.833132,-17.147942,caudatus
45,-814.6496,-74.64731,-19.871742,24.922789,-28.794136,-8.876682,10.693402,25.151438,-13.057283,12.619313,5.9668446,11.381336,-16.845776,caudatus
46,-812.42737,-75.77738,-26.091244,29.539505,-20.24031,-6.533305,6.8153486,18.6203,-17.932224,9.183502,2.0363898,11.920157,-19.837666,caudatus
47,-808.08594,-71.39758,-14.490349,35.370377,-21.25447,-10.335804,3.9645357,18.220528,-19.498066,-3.4073842,-6.3131623,12.300544,-15.592092,caudatus
48,-807.13306,-70.36749,-14.517618,32.602646,-32.176132,-20.188839,-2.9328954,21.116867,-19.14664,-2.738536,-5.431265,9.497818,-13.032855,caudatus
49,-816.13416,-78.440704,-18.329044,36.104683,-27.858864,-16.917194,-2.8305998,22.499025,-18.59915,4.1122704,1.1575476,13.496055,-11.159368,caudatus
50,-817.03314,-79.8891,-18.138592,39.426506,-15.454678,-6.3342247,-1.9280056,11.437454,-22.873999,5.2232614,5.434244,16.282612,-10.346376,caudatus
51,-806.20166,-80.641495,-19.825836,31.246475,-26.13535,-5.205146,2.9738495,14.518133,-21.978668,1.8464904,-4.3740664,13.31107,-9.957964,caudatus
52,-807.04724,-89.981674,-26.917332,20.96552,-39.327377,-6.3189106,19.521606,26.635323,-18.488293,-7.096634,-10.95974,11.158924,-6.832279,caudatus
53,-807.8695,-91.77414,-23.28611,22.494007,-38.71217,-10.988733,14.663023,27.409468,-23.857365,-9.218887,-11.07372,15.807089,-6.0381393,caudatus
54,-800.351,-93.38238,-33.29965,17.188862,-31.470566,2.3266854,13.114492,25.015402,-28.76639,-16.276588,-11.988083,21.753002,2.5927815,caudatus
55,-804.39935,-92.77785,-42.469284,16.989975,-25.86982,15.330008,25.163795,23.022417,-28.710083,-16.185356,-10.706849,19.526264,9.333277,caudatus
56,-814.99554,-95.94756,-46.871284,29.131144,-19.078773,11.299376,18.374863,15.9009075,-25.148088,-3.962062,-5.6129446,13.820028,6.223917,caudatus
57,-815.7322,-98.313354,-50.113346,35.395603,-9.756497,5.624235,3.206778,10.348301,-12.125465,9.531906,-3.4086237,3.3555932,-8.951309,caudatus
58,-823.2904,-98.431625,-42.579388,40.18457,-10.640816,-1.5133538,-0.9910622,14.461372,-11.151218,11.059663,2.610302,4.1451607,-14.965432,caudatus
59,-818.6611,-93.78815,-40.759293,36.18702,-8.40489,5.1103964,-4.492255,10.552988,-18.187801,6.8346386,7.1561728,7.946189,-13.499804,caudatus
60,-805.2527,-78.50869,-24.415012,40.629723,-15.792234,-3.0029445,-10.902651,3.9038184,-27.65877,3.9196951,2.510479,6.6567554,-15.02379,caudatus
61,-803.21497,-69.82168,-19.003674,40.980286,-22.449741,-11.065157,-8.133152,3.1344895,-29.184353,0.7725595,2.0339794,7.898938,-14.162557,caudatus
62,-807.4843,-74.33057,-23.467812,37.511894,-28.583904,-15.78256,-4.349169,10.7624855,-21.39761,5.554809,5.7721214,10.774107,-13.132497,caudatus
63,-812.0765,-78.27699,-19.684088,43.89614,-26.71054,-16.588673,-2.572054,19.491343,-16.694624,2.3659518,3.8400922,11.724338,-7.7675858,caudatus
64,-812.61835,-86.45445,-27.140158,50.28018,-17.409767,-17.133148,2.6368947,18.425152,-21.779755,1.7427653,5.392931,5.35765,-10.764103,caudatus
65,-803.53864,-82.066574,-30.034035,45.820805,-24.445694,-24.135042,1.5060469,21.219944,-22.225105,3.7429476,9.622402,7.1538324,-12.757223,caudatus
66,-813.2241,-85.41161,-27.454409,45.36982,-32.37624,-28.785519,3.086646,26.567644,-14.573355,3.656855,8.216668,5.375739,-12.709325,caudatus
67,-821.90717,-92.065125,-23.166622,49.724945,-32.011368,-21.311695,3.9421573,21.961264,-12.838463,16.077015,13.886473,-0.46109352,-19.983963,caudatus
68,-822.3545,-94.935776,-25.192623,59.71241,-24.87482,-16.468834,-0.7126299,14.364568,-16.119864,14.858798,9.480279,6.371561,-14.629735,caudatus
69,-818.6953,-93.73996,-26.029053,67.87945,-21.50937,-17.983093,-4.680951,12.571797,-11.276543,5.702962,4.6064653,7.2168536,-13.850087,caudatus
70,-821.2663,-97.459785,-22.933918,68.10365,-25.450922,-22.358091,-0.17712563,22.882614,-9.374332,4.0306463,5.0161505,4.119519,-10.135728,caudatus
71,-827.261,-100.3482,-25.755009,60.115875,-24.457527,-15.30443,3.862929,26.064877,-13.817423,8.58326,11.836401,8.330622,-15.874855,caudatus
72,-816.6626,-91.64874,-31.779802,44.981533,-25.537273,-20.517757,3.975358,29.318783,-4.804083,9.0547495,12.779255,0.39271727,-22.273027,caudatus
73,-809.5848,-87.10057,-31.775112,36.008568,-37.84169,-31.87823,10.543705,35.81835,-6.6016493,3.5972266,2.328323,-6.875511,-19.009739,caudatus
74,-813.0086,-85.81034,-26.902756,39.19735,-45.824677,-33.21734,8.994396,30.493015,-12.358776,1.8578138,3.0126872,4.050115,-7.590636,caudatus
75,-812.6371,-89.839905,-32.49923,35.134445,-35.901775,-14.61523,14.273721,18.649021,-20.21574,0.8225301,8.7434225,11.386539,-9.312172,caudatus
76,-815.9506,-89.90762,-40.168182,28.91758,-31.8987,-4.20341,19.06573,25.707924,-18.560211,4.7075443,6.7397265,6.228021,-20.597416,caudatus
77,-795.92395,-70.598145,-27.114895,38.6059,-21.707535,-3.26559,7.001685,14.408257,-16.758272,4.819438,8.767164,3.9183145,-17.14441,caudatus
78,-697.031,-19.249561,-11.315035,19.339582,-10.63318,0.45500836,0.035732053,7.416,-7.1266017,4.948254,-0.02570092,4.100853,-7.450255,caudatus
0,-563.5384,-27.68482,-7.937579,15.166105,-21.577179,32.95956,-14.393993,-18.363235,19.692484,-3.0736036,0.9650785,0.30336893,-10.223011,oriolus
1,-531.1788,-51.259872,-13.96806,24.18898,-33.49713,57.191284,-32.11821,-20.560751,27.552761,-7.9063654,6.3635674,-1.5839572,-13.705956,oriolus
2,-511.6758,-70.307655,-7.523988,19.795696,-28.59157,59.038864,-40.39717,-13.850841,24.65579,-5.783967,6.0240736,-6.468816,-5.15859,oriolus
3,-501.15735,-79.51078,-6.853106,19.374325,-21.124762,45.325676,-29.54393,-12.934788,15.740938,2.2221124,-2.8527865,4.6318064,-6.700951,oriolus
4,-493.89026,-81.49298,-19.091618,33.90869,-22.829937,32.120464,-12.800825,-21.304634,13.634649,10.716759,-15.290375,17.445358,-11.582159,oriolus
5,-494.65433,-64.00966,-48.366898,36.654922,-4.827952,34.119293,-28.50308,-30.817255,36.205643,15.950218,-34.645294,12.4774475,3.1078014,oriolus
6,-510.79056,-42.8715,-55.896854,20.202866,17.083103,34.25007,-43.386597,-27.250954,40.827644,21.088308,-40.096344,3.5269327,10.055817,oriolus
7,-514.7724,-34.648174,-66.065186,26.307201,18.859898,21.701292,-23.946095,-35.288254,25.25137,43.905533,-45.598495,-8.78324,22.237068,oriolus
8,-503.8861,-46.74965,-67.20853,46.249554,-3.6081426,21.364752,-2.6459816,-50.068184,22.57257,48.896587,-45.294495,-7.588903,21.119957,oriolus
9,-496.29715,-62.448433,-55.920097,59.574013,-30.273296,34.884586,-2.4365392,-54.223446,36.919334,24.322447,-31.452206,0.54809535,4.2485456,oriolus
10,-450.2115,-101.38297,-74.4054,124.47074,-74.4185,20.149734,33.987885,-68.6542,27.087692,28.70678,-25.451237,-11.184341,5.9240727,oriolus
11,-425.2737,-117.50098,-93.053055,155.29922,-81.73123,-0.022922277,55.285797,-66.91361,13.274905,32.62477,-15.324583,-16.801666,-0.031084716,oriolus
12,-429.01395,-109.52173,-103.71972,148.62761,-64.623505,-11.454891,56.499596,-59.345493,2.4818068,40.378807,-11.492283,-18.36837,-7.3391733,oriolus
13,-445.63647,-85.41037,-112.8158,123.65567,-25.124413,-27.540874,39.041317,-29.054716,-9.66193,20.788902,13.101568,-13.377574,-30.132885,oriolus
14,-416.0919,-103.424194,-131.14719,145.82971,-19.960829,-54.235905,58.977867,-34.550346,-11.676445,25.99906,4.0467663,-2.388109,-28.902029,oriolus
15,-374.61063,-117.39694,-147.02197,171.10197,-1.6493495,-61.864426,58.81525,-36.09792,21.537037,19.341438,-15.695936,13.701611,-4.1467366,oriolus
16,-364.28473,-117.64373,-164.58455,168.47565,8.05045,-51.194775,35.119095,-41.071045,46.08137,11.46725,-30.874105,17.98845,11.022819,oriolus
17,-391.1398,-98.627884,-175.38376,146.9255,17.133646,-45.70822,15.359293,-40.143173,42.29728,12.525383,-39.082214,14.205372,8.104052,oriolus
18,-424.49234,-78.82449,-154.26456,122.70674,21.16417,-42.13134,13.207606,-33.808952,32.35218,16.312263,-34.23103,7.6591415,11.749294,oriolus
19,-429.66733,-94.652145,-108.976845,90.1685,23.827633,-43.185097,27.64986,-43.63765,31.665834,11.02552,-22.856401,8.089431,-1.0268888,oriolus
20,-430.08975,-106.97858,-81.89171,75.523544,14.74736,-28.360706,19.65329,-37.10939,27.608164,2.690487,-6.7982016,1.3298382,-7.7330427,oriolus
21,-427.81113,-119.32944,-62.999523,71.3163,2.3753753,-11.076807,-2.8048599,-9.569224,7.18357,10.743446,-8.251236,-3.5253258,5.1916013,oriolus
22,-440.0826,-113.83621,-52.518234,64.61896,-4.7745333,1.3756583,-14.501269,3.89692,-8.233486,24.596712,-18.237267,0.50473773,8.856227,oriolus
23,-446.00687,-110.18695,-45.91416,51.111942,7.6952505,-6.5757275,-10.850637,6.646826,-17.288269,33.482094,-24.251759,8.837068,-2.0003808,oriolus
24,-450.765,-104.367294,-46.641655,42.92309,21.33749,-18.6427,-3.3759665,3.618589,-18.500664,38.026794,-30.621643,15.933907,-8.864975,oriolus
25,-457.58603,-100.82201,-39.839325,35.043156,20.11481,-11.105293,-6.866431,1.1497239,-16.412466,37.1437,-26.676407,10.943024,-7.3439584,oriolus
26,-456.60733,-103.33003,-38.805733,39.446404,14.836103,-9.212465,-10.168779,7.4401007,-18.024406,31.351662,-19.102787,3.413906,0.7812643,oriolus
27,-462.71835,-95.79254,-46.337143,48.54904,9.722191,-13.283386,-2.3315065,3.5539925,-17.301632,30.353924,-18.086214,2.229711,2.4328141,oriolus
28,-469.3511,-95.13306,-31.30743,28.07235,23.972654,-23.25576,11.553471,-11.38479,-12.787743,37.859215,-28.260067,11.018154,-7.1521225,oriolus
29,-473.09772,-95.470795,-18.516056,7.1908665,40.690548,-28.6751,8.996599,-5.8855824,-20.650341,47.419037,-36.379093,17.277548,-13.751722,oriolus
30,-471.66434,-99.904976,-12.431024,4.2879515,41.223778,-28.913208,6.0035887,1.3011775,-27.35287,50.075005,-34.91514,12.659206,-7.6520305,oriolus
31,-480.0022,-95.21619,-6.945122,-0.9661768,41.137497,-28.598125,9.801262,-6.188768,-18.52501,43.468758,-31.804688,8.217876,2.6132336,oriolus
